comments,words
68,"['great', 'overall', 'but', 'with', 'issues', 'that', 'once', 'addressed', 'would', 'really', 'put', 'this', 'over', 'top', 'first', 'rdi', 'for', 'me', 'was', 'way', 'way', 'off', 'putting', 'in', 'all', 'my', 'info', 'it', 'recommended', '2800', 'calories', 'day', 'that', 'for', 'being', 'sedentary', 'trying', 'lose', 'weight', 'putting', 'in', 'same', 'weight', 'height', 'age', 'etc', 'into', 'any', 'other', 'calorie', 'calculator', 've', 'tried', 'all', 'tells', 'me', 'about', '1900', '2000', 'day', 'pretty', 'huge', 'difference', 'but', 'hey', 'fatsecret', 'lets', 'you', 'manually', 'adjust', 'their', 'rdi', 'after', 'it', 'calculated', 'so', 'that', 'fine', 'just', 'don', 'trust', 'their', 'calculations', 'other', 'thing', 'hate', 'having', 'put', 'in', 'same', 'items', 'over', 'over', 'for', 'combined', 'foods', 'like', 'sandwiches', 'hotdogs', 'with', 'relish', 'etc', 'rather', 'be', 'able', 'select', 'group', 'of', 'foods', 'call', 'it', 'turkey', 'sandwich', 'save', 'it', 'for', 'later', 'then', 'just', 'click', 'my', 'turkey', 'sandwich', 'every', 'time', 'fix', 'one', 'grouping', 'like', 'that', 'would', 'be', 'huge', 'plus', 'for', 'people', 'that', 'do', 'lot', 'of', 'home', 'cooked', 'meals', 'especially', 'if', 'generic', 'version', 'can', 'be', 'found', 'through', 'search', 'option', 'other', 'than', 'those', 'things', 'love', 'it', ""that's"", ""i've"", ""it's"", ""that's"", ""don't"", ""i'd"", ""can't""]"
69,"['hi', 'its', 'awesome', 'app', 'but', 'pls', 'add', 'one', 'feature', 'like', 'use', 'this', 'app', 'but', 'some', 'things', 'are', 'there', 'which', 'eat', 'are', 'not', 'there', 'in', 'list', 'understand', 'its', 'impossible', 'add', 'each', 'every', 'dish', 'food', 'item', 'in', 'list', 'but', 'still', 'am', 'satisfied', 'with', 'wide', 'rage', 'of', 'food', 'items', 'but', 'if', 'it', 'could', 'have', 'optional', 'adding', 'calories', 'manually', 'or', 'make', 'own', 'food', 'item', 'by', 'adding', 'all', 'stuff', 'like', 'cal', 'proteins', 'ect', 'add', 'its', 'name', 'save', 'it', 'for', 'reuse', 'thnk', 'expect', 'this', 'feature', 'in', 'next', 'update']"
70,"['love', 'this', 'app', 'but', 'teaching', 'unit', 'on', 'osteoporosis', 'really', 'wish', 'could', 'track', 'calcium', 'intake', 'that', 'would', 'get', 'star', 'rating', ""i'm""]"
71,"['love', 'food', 'diary', 've', 'learned', 'how', 'eat', 'right', 'make', 'better', 'choices', 'this', 'app', 'makes', 'me', 'accountable', 'for', 'everything', 'eat', 've', 'had', 'app', 'for', 'mo', 'lost', '35lbs', 'this', 'saving', 'my', 'life', 'thank', 'you', 'update', 'months', 've', 'lost', '55lbs', 'please', 'fix', 'serving', 'calculator', 'servings', 'should', 'be', 'changeable', 'by', 'etc', 'recipe', 'calculator', 'would', 'be', 'awesome', 'too', 'will', 'go', 'back', 'stars', 'if', 'you', 'change', 'these', ""i've"", ""i've"", ""i've"", ""4's"", ""3's""]"
72,"['thanks', 'for', 'bug', 'fixes']"
73,"['had', 'for', 'looooong', 'time', 'love', 'it', 'better', 'than', 'any', 'other', 'app']"
74,"['would', 'for', 'there', 'be', 'way', 'like', 'agree', 'with', 'buddies', 'comment', 'posts']"
75,"['lost', '15kg', 'in', '7months', 'my', 'perfect', 'weight', 'stoped', 'using', 'it', 'for', 'year', 'gained', '6kg', 'reinstalled', 'it', 'now']"
76,"['bugs', 'fixed', 'yey']"
77,"['so', 'far', 'like', 'it', 'just', 'what', 'needed', 'rotated', 'apps', 'for', 'variety']"
78,"['couldn', 'open', 'app', 'at', 'one', 'point', 'but', 'that', 'was', 'quickly', 'fixed', 'really', 'like', 'how', 'simple', 'quick', 'it', 'update', 'food', 'exercise', 'keep', 'accurate', 'track', ""couldn't""]"
79,"['it', 'shows', 'you', 'clearly', 'calories', 'burned', 'in', 'exercise', 'not', 'over', 'above', 'your', 'bmr', 'but', 'mostly', 'part', 'of', 'it', 'simple', 'easy', 'track', 'your', 'food', 'intake', 'calorific', 'needs', 'also', 'tracks', 'weight', 'best', 'all', 'in', 'one', 'app', 'thanks']"
80,"['would', 'like', 'use', 'this', 'but', 'will', 'not', 'allow', 'ad', 'agency', 'spyware', 'on', 'my', 'phone', 'dump', 'admob', 'code', 'in', 'pro', 'version', 'please', 'give', 'us', 'option', 'pay', 'for', 'privilege', 'would', 'be', 'at', 'least', 'stars', 'if', 'no', 'admob']"
81,"['ve', 'been', 'using', 'everytrail', 'for', 'quite', 'while', 'now', 'it', 'always', 'works', 'without', 'fail', 'normally', 'use', 'it', 'too', 'record', 'cycle', 'routes', 'which', 'it', 'does', 'with', 'about', 'same', 'acuracy', 'my', 'cycle', 'computer', 'thought', 'would', 'give', 'my', 'tracks', 'shot', 'but', 'when', 'used', 'in', 'exactly', 'same', 'way', 'everytrail', 'it', 'left', 'loads', 'of', 'gaps', 'in', 'my', 'route', 'recorded', 'distance', 'about', '8km', 'out', 'from', 'my', 'computer', 'over', 'only', '50k', ""i've""]"
82,"['awesome', 'job', 'of', 'recording', 'locations', 'later', 'match', 'photos', 'whether', 'at', 'stationary', 'locations', 'or', 'shooting', 'from', 'fast', 'moving', 'tour', 'bus', 'second', 'granularity', 'available', 'use', 'this', 'app', 'often', 'in', 'usa', 'recently', 'in', 'singapore', 'malaysia', 'stars', 'because', 'need', 'transfer', 'gpx', 'files', 'exporting', 'sending', 'my', 'computer', 'very', 'clumsy', 'app', 'set', 'up', 'for', 'auto', 'transfer', 'google', 'drive', 'would', 'give', 'stars', 'if', 'if', 'could', 'select', 'transfer', 'file', 'format', 'be', 'gpx', 'not', 'just', 'kml', 'note', 'that', 'this', 'app', 'does', 'not', 'do', 'any', 'of', 'time', 'synchronizing', 'nor', 'embedding', 'of', 'geo', 'positions', 'into', 'photos', 'use', 'other', 'software', 'on', 'pc', 'for', 'that']"
83,"['ran', 'this', 'with', 'several', 'apps', 'though', 'mapmyride', 'still', 'has', 'advantage', 'this', 'came', 'in', 'close', 'second', 'wish', 'they', 'add', 'route', 'image', 'when', 'sharing', 'now', 'it', 'just', 'blank', 'map', 'update', 'it', 'now', 'best', 'performer', 'of', 'all', 've', 'tried', 'but', 'unfortunately', 'they', 'went', 'different', 'wrong', 'direction', 'even', 'removed', 'map', 'image', 'when', 'sharing', 'facebook', 'other', 'social', 'media', 'accounts', 'there', 'just', 'link', 'route', 'in', 'your', 'google', 'drive', 'account', 'not', 'good', 'move', ""they'd"", ""it's"", ""i've""]"
